provider,name,stock,price,link
Amazon,MSI Gaming GeForce RTX 3080 10GB GDRR6X 320-Bit HD,No Stock,Ver Sitio,https://www.amazon.com.mx/MSI-GeForce-320-Bit-Tri-Frozr-Architecture/dp/B08HR7SV3M/ref=sr_1_2?dchild=1&keywords=RTX+3080&qid=1628705350&sr=8-2
Amazon,Zotac ZT-A30800J-10P tarjeta gráfica NVIDIA GeForc,No Stock,Ver Sitio,https://www.amazon.com.mx/Zotac-ZT-A30800J-10P-tarjeta-gr%C3%A1fica-GeForce/dp/B08K3PDL9K/ref=sr_1_6?dchild=1&keywords=RTX+3080&qid=1628705350&sr=8-6
Amazon,"EVGA GeForce RTX 3080 XC3 Ultra Gaming, 10G-P5-388",No Stock,Ver Sitio,https://www.amazon.com.mx/EVGA-GeForce-10G-P5-3885-KL-Cooling-trasera/dp/B097S5SQ3Z/ref=sr_1_8?dchild=1&keywords=RTX+3080&qid=1628705350&sr=8-8
Amazon,MSI Gaming GeForce RTX 3080 10 GB GDRR6X 320 bits ,Hay Stock,"$49,899.00",https://www.amazon.com.mx/MSI-GeForce-Arquitecture-Tarjeta-gr%C3%A1fica/dp/B08HR5SXPS/ref=sr_1_102?dchild=1&keywords=RTX+3080&qid=1628705351&sr=8-102
Amazon,PNY GeForce RTX 3080 - Tarjeta gráfica de Triple V,No Stock,Ver Sitio,https://www.amazon.com.mx/PNY-GeForce-RTX-3080-Ventilador/dp/B08HBTJMLJ/ref=sr_1_112?dchild=1&keywords=RTX+3080&qid=1628705351&sr=8-112
Amazon,"Asus ROG Strix G35CZ Gaming Desktop PC, GeForce RT",Hay Stock,"$121,790.00",https://www.amazon.com.mx/Asus-Desktop-i9-10900KF-Professional-G35CZ-XH988/dp/B08SJS1W65/ref=sr_1_125?dchild=1&keywords=RTX+3080&qid=1628705351&sr=8-125
Amazon,2021 Dell Alienware Aurora R12 Desktop - Intel Cor,Hay Stock,"$101,177.59",https://www.amazon.com.mx/2021-Dell-Alienware-Aurora-Desktop/dp/B09BBS9V9Y/ref=sr_1_142?dchild=1&keywords=RTX+3080&qid=1628705351&sr=8-142
Amazon,"10G-P5-3885-KR GeForce RTX 3080 XC3 Ultra Gaming, ",No Stock,Ver Sitio,https://www.amazon.com.mx/10G-P5-3885-KR-GeForce-Gaming-Cooling-trasera/dp/B0979WZV9F/ref=sr_1_149?dchild=1&keywords=RTX+3080&qid=1628705351&sr=8-149
Amazon,2021 Dell Alienware Aurora R12 Desktop - Intel Cor,Hay Stock,"$99,186.79",https://www.amazon.com.mx/2021-Dell-Alienware-Aurora-Desktop/dp/B09BCDP73N/ref=sr_1_293?dchild=1&keywords=RTX+3080&qid=1628705352&sr=8-293
Amazon,2021 Dell Alienware Aurora R12 Desktop - Intel Cor,Hay Stock,"$107,563.99",https://www.amazon.com.mx/2021-Dell-Alienware-Aurora-Desktop/dp/B09BCDMGPP/ref=sr_1_294?dchild=1&keywords=RTX+3080&qid=1628705352&sr=8-294
