provider,name,stock,price,link
CyberPuerta,"Apple Mac Mini MGNT3LZ/A, Apple M1, 8GB, 512GB SSD, Plata (Noviembre 2020)",10,"$22,009.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Apple-Mac-Mini-MGNT3LZ-A-Apple-M1-8GB-512GB-SSD-Plata-Noviembre-2020.html
CyberPuerta,"Computadora HP 280 G5 SFF, Intel Core i5-10500 3.10GHz, 8GB, 1TB, Windows 10 Pro 64-bit",52,"$12,969.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-HP-280-G5-SFF-Intel-Core-i5-10500-3-10GHz-8GB-1TB-Windows-10-Pro-64-bit.html
CyberPuerta,"Computadora Gamer Xtreme PC Gaming CM-30015, Intel Core i7-10700F 2.90GHz, 16GB, 2TB + 500GB SSD, NVIDIA GeForce RTX 3060, Windows 10 Prueba",30,"$36,959.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-30015-Intel-Core-i7-10700F-2-90GHz-16GB-2TB-500GB-SSD-NVIDIA-GeForce-RTX-3060-Windows-10-Prueba.html
CyberPuerta,"Computadora Gamer Xtreme PC Gaming CM-412, AMD Ryzen 5 3600 3.60GHz, 16GB, 1TB + 480GB SSD, NVIDIA GeForce GTX 1660 SUPER, Windows 10 Prueba, Negro",43,"$27,209.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-412-AMD-Ryzen-5-3600-3-60GHz-16GB-1TB-480GB-SSD-NVIDIA-GeForce-GTX-1660-SUPER-FreeDOS-Negro.html
CyberPuerta,"Computadora Gamer Xtreme PC Gaming CM-05022, Intel Celeron N3050 1.60GHz, 8GB, 500GB, FreeDOS  ―  incluye Monitor de 18.5"", Teclado y Mouse",12,"$5,889.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-05022-Intel-Celeron-N3050-1-60GHz-8GB-500GB-FreeDOS-incluye-Monitor-de-18-5-Teclado-y-Mouse.html
CyberPuerta,"Computadora Gamer Xtreme PC Gaming CM-05024, AMD Ryzen 3 3200G 3.60GHz, 8GB, 1TB, Radeon Vega 8, FreeDOS",57,"$7,819.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-PC-Xtreme-PC-Gaming-CM-05024-AMD-Ryzen-3-3200G-3-60GHz-8GB-1TB-Radeon-Vega-8-FreeDOS.html
CyberPuerta,"Computadora Kit Lenovo V50s, Intel Core i7-10700 2.90GHz, 16GB, 512GB SSD, Windows 10 Pro 64-bit + Teclado/Mouse",67,"$21,519.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Kit-Lenovo-V50s-Intel-Core-i7-10700-2-90GHz-16GB-512GB-SSD-Windows-10-Pro-64-bit-Teclado-Mouse.html
CyberPuerta,"Xtreme PC Computadora Gamer Xtreme PC Gaming CM-05017, AMD Ryzen 3 2200G 3.50GHz, 8GB, 1TB, AMD Radeon Vega 8, FreeDOS  ―  Incluye Monitor, Teclado y Mouse",71,"$10,659.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Xtreme-PC-Computadora-Gamer-Xtreme-PC-Gaming-CM-05017-AMD-Ryzen-3-2200G-3-50GHz-8GB-1TB-AMD-Radeon-Vega-8-FreeDOS.html
CyberPuerta,"Computadora Gamer Xtreme PC Gaming CM-50140, AMD Ryzen 5 3400G 3.70GHz, 8GB, 240GB SSD, Radeon Vega 11, FreeDOS - incluye Monitor/Teclado/Mouse",6,"$14,579.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-50140-AMD-Ryzen-5-3400G-3-70GHz-8GB-240GB-SSD-Radeon-Vega-11-FreeDOS-incluye-Monitor-Teclado-Mouse.html
CyberPuerta,"Computadora Dell Vostro 3681, Intel Core i5-10400 2.90GHz, 8GB, 1TB, Windows 10 Home 64-bit + Teclado/Mouse",98,"$12,699.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Dell-Vostro-3681-Intel-Core-i5-10400-2-90GHz-8GB-1TB-Windows-10-Home-64-bit.html
CyberPuerta,"Computadora Huawei MateStation B515, AMD Ryzen 5 4600G 3.70GHz, 8GB, 256GB SSD, Windows 10 Home 64-bit",395,"$13,269.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Huawei-MateStation-B515-AMD-Ryzen-5-4600G-3-70GHz-8GB-256GB-SSD-Windows-10-Home-64-bit.html
CyberPuerta,"Computadora Kit Dell OptiPlex 3080 SFF, Intel Core i5-10500, 8GB, 1TB, Windows 10 Pro 64-bit + Teclado/Mouse",26,"$16,149.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Dell-OptiPlex-3080-SFF-Intel-Core-i5-10500-8GB-1TB-Windows-10-Pro-64-bit.html
CyberPuerta,"Computadora Dell Vostro 3681, Intel Core i3-10100 3.60GHz, 8GB, 1TB, Windows 10 Pro 64-bit",114,"$11,149.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Dell-Vostro-3681-Intel-Core-i3-10100-3-60GHz-8GB-1TB-Windows-10-Pro-64-bit-cp2.html
CyberPuerta,"Computadora Dell Vostro 3681, Intel Core i5-10400 2.90GHz, 8GB, 1TB, Windows 10 Pro 64-bit",243,"$13,729.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Dell-Vostro-3681-Intel-Core-i5-10400-2-90GHz-8GB-1TB-Windows-10-Pro-64-bit.html
