provider,name,stock,price,link
CyberPuerta,"Smartphone Samsung Galaxy A32 6.4"", 1800 x 2400 Pixeles, 128GB, 4GB RAM, 4G, Android 11, Violeta",20,"$6,089.00",https://www.cyberpuerta.mx/Telecomunicacion/Telefonia-Movil/Smartphones/Smartphone-Samsung-Galaxy-A32-6-4-1800-x-2400-Pixeles-128GB-4GB-RAM-4G-Android-11-Violeta.html
CyberPuerta,"Smartphone Samsung Galaxy A12 6.5"" 720 x 1600 Pixeles, 64GB, 4GB RAM, 3G/4G, Android 10, Negro",82,"$4,159.00",https://www.cyberpuerta.mx/Telecomunicacion/Telefonia-Movil/Smartphones/Smartphone-Samsung-Galaxy-A12-6-5-720-x-1600-Pixeles-64GB-4GB-RAM-3G-4G-Android-10-Negro.html
CyberPuerta,"Smartphone Samsung Galaxy M21 6.4"" 2340 x 1080 Pixeles, 64GB, 4GB RAM, 3G/4G, Android 10.0, Negro",2,"$5,129.00",https://www.cyberpuerta.mx/Telecomunicacion/Telefonia-Movil/Smartphones/Smartphone-Samsung-Galaxy-M21-6-4-2340-x-1080-Pixeles-64GB-4GB-RAM-3G-4G-Android-10-0-Negro.html
CyberPuerta,"Smartphone Samsung Galaxy A10s 6.2"" Sim única, 720 x 1520Pixeles, 32GB, 2GB, 4G, Android 9.0, Rojo",25,"$3,199.00",https://www.cyberpuerta.mx/Telecomunicacion/Telefonia-Movil/Smartphones/Smartphone-Samsung-Galaxy-A10s-6-2-Sim-unica-720-x-1520Pixeles-32GB-2GB-4G-Android-9-0-Rojo.html
CyberPuerta,"Smartphone Samsung Galaxy A02S 6.5"", 720 x 1600 Pixeles, 64GB, 4GB RAM, 4G, Android 10, Rojo",3,"$3,519.00",https://www.cyberpuerta.mx/Telecomunicacion/Telefonia-Movil/Smartphones/Smartphone-Samsung-Galaxy-A02S-6-5-720-x-1600-Pixeles-64GB-4GB-RAM-4G-Android-10-Rojo.html
CyberPuerta,"Smartphone Samsung Galaxy A22 5G 6.6"" Dual Sim, 2400 x 1080 Pixeles, 128GB, 6GB RAM, 5G, Android 11, Violeta",44,"$8,209.00",https://www.cyberpuerta.mx/Telecomunicacion/Telefonia-Movil/Smartphones/Smartphone-Samsung-Galaxy-A22-5G-6-6-Dual-Sim-2400-x-1080-Pixeles-128GB-6GB-RAM-5G-Android-11-Violeta.html
CyberPuerta,"Smartphone Samsung Galaxy A22 5G 6.6"" Dual Sim, 2400 x 1080 Pixeles, 128GB, 6GB RAM, 5G, Android 11, Gris",44,"$8,209.00",https://www.cyberpuerta.mx/Telecomunicacion/Telefonia-Movil/Smartphones/Smartphone-Samsung-Galaxy-A22-5G-6-6-Dual-Sim-2400-x-1080-Pixeles-64GB-4GB-RAM-5G-Android-11-Gris.html
CyberPuerta,"Smartphone Samsung Galaxy A32 6.4"", 1800 x 2400 Pixeles, 128GB, 4GB RAM, 4G, Android 11, Blanco",34,"$6,089.00",https://www.cyberpuerta.mx/Telecomunicacion/Telefonia-Movil/Smartphones/Smartphone-Samsung-Galaxy-A32-6-4-1800-x-2400-Pixeles-128GB-4GB-RAM-4G-Android-11-Blanco.html
CyberPuerta,"Smartphone Samsung Galaxy A32 6.4"", 1800 x 2400 Pixeles, 128GB, 4GB RAM, 4G, Android 11, Negro",24,"$6,089.00",https://www.cyberpuerta.mx/Telecomunicacion/Telefonia-Movil/Smartphones/Smartphone-Samsung-Galaxy-A32-6-4-1800-x-2400-Pixeles-128GB-4GB-RAM-4G-Android-11-Negro.html
CyberPuerta,"Smartphone Samsung Galaxy A42 6.6"", 720 x 1600 Pixeles, 128GB, 8GB RAM, 4G/5G, Android 10, Gris",1,"$7,829.00",https://www.cyberpuerta.mx/Telecomunicacion/Telefonia-Movil/Smartphones/Smartphone-Samsung-Galaxy-A42-6-6-720-x-1600-Pixeles-128GB-8GB-RAM-4G-5G-Android-10-Gris.html
