provider,name,stock,price,link
Ebay,ASUS ROG Strix GeForce RTX 3080 OC 10GB Graphics D,1,"$24,817.81",https://www.ebay.com/itm/274894660722?hash=item4000ffa472:g:qNYAAOSwKfBhDcfn
Ebay,Gigabyte GeForce RTX 3080 Gaming OC waterforce WB ,1,"$29,579.73",https://www.ebay.com/itm/284398657089?hash=item42377b1e41:g:aVMAAOSwWWxhDOJh
Ebay,EVGA GeForce RTX 3080 FTW3 ULTRA Tarjeta Gráfica d,1,"$30,185.87",https://www.ebay.com/itm/224568454565?epid=15047990432&hash=item344952ada5:g:xrUAAOSwM2hhFAny
Ebay,Asus TUF GeForce RTX 3080 OC 12GB GDDR 6X Tarjeta ,1,"$22,308.14",https://www.ebay.com/itm/274894660481?hash=item4000ffa381:g:6qsAAOSweZJhDcX1
Ebay,NVIDIA GeForce RTX 3080 Founders Edition 10Go GDDR,1,"$29,499.94",https://www.ebay.com/itm/353618900368?epid=26047886711&hash=item5255543590:g:YTYAAOSwKEthE7ie
Ebay,EVGA GeForce RTX 3080 XC3 Negro Gaming 10G gráfico,1,"$23,157.94",https://www.ebay.com/itm/114931212779?epid=21047896483&hash=item1ac26f21eb:g:CfQAAOSwRwFhAWmu
Ebay,ASUS ROG STRIX GeForce RTX 3080 GUNDAM EDITION grá,1,"$30,709.44",https://www.ebay.com/itm/294325513174?hash=item44872aebd6:g:VtMAAOSw2jVhEXv7
Ebay,MSI GeForce RTX 3080 Gaming Z TRIO-Envío Hoy corre,1,"$30,708.43",https://www.ebay.com/itm/324747526599?epid=8041888279&hash=item4b9c7601c7:g:74gAAOSwKt5hEocA
Ebay,ASUS GeForce RTX 3080 gráficos 10GB Tarjeta Gráfic,1,"$24,164.80",https://www.ebay.com/itm/274899846105?epid=25043419851&hash=item40014ec3d9:g:rUkAAOSwuZthEa1F
Ebay,GIGABYTE AORUS GeForce RTX 3080 XTREME waterforce ,1,"$31,212.87",https://www.ebay.com/itm/353619338829?epid=9043753681&hash=item52555ae64d:g:0oEAAOSwNS9hCq1Y
Ebay,NVIDIA GeForce RTX 3080 Founders Edition tasa de d,1,"$28,470.77",https://www.ebay.com/itm/154564820183?epid=11046131534&hash=item23fcc7fcd7:g:DxgAAOSwDxdhEklI
Ebay,EVGA GeForce RTX 3080 FTW3 ULTRA Gaming 10GB Graph,1,"$28,695.70",https://www.ebay.com/itm/353614760658?epid=15047990432&hash=item5255150ad2:g:WycAAOSwqUZhEKa~
Ebay,NVIDIA GeForce RTX 3080 Founders Edition tasa de d,1,"$34,233.47",https://www.ebay.com/itm/174864060698?hash=item28b6b5d11a:g:K9IAAOSwl2Zg~Z-6
Ebay,NVIDIA GeForce RTX 3080 Fe Founders Edition 10GB G,1,"$40,233.39",https://www.ebay.com/itm/154537083380?epid=4040934334&hash=item23fb20c1f4:g:tQwAAOSwl15g-N~K
Ebay,NVIDIA GeForce RTX 3080 Founders Edition 10Go GDDR,1,"$35,399.93",https://www.ebay.com/itm/234133294672?hash=item36836e8e50:g:1pYAAOSwVJZg9vIg
Ebay,NVIDIA GeForce RTX 3080 Founders Edition 10gb GDDR,1,"$34,219.93",https://www.ebay.com/itm/184993129960?epid=12047868631&hash=item2b127325e8:g:51YAAOSwp-Bg5vuy
Ebay,MSI GeForce RTX 3080 Gaming Z TRIO 10GB GDDR 6X Ta,1,"$32,219.74",https://www.ebay.com/itm/255087207216?epid=8041888279&hash=item3b6461e330:g:vm8AAOSwxRxhByGe
Ebay,ASUS TUF Gaming GeForce RTX 3080 OC 10 Go GDDR6X C,1,"$36,579.93",https://www.ebay.com/itm/194279395119?epid=12041874600&hash=item2d3bf44f2f:g:akIAAOSwTgJhEY3t
Ebay,Gigabyte NVIDIA GeForce RTX 3080 Gaming OC 10 GB 🔥,1,$19.94,https://www.ebay.com/itm/255088190407?epid=8047518914&hash=item3b6470e3c7:g:PxcAAOSw4Zlg3aVs
