provider,name,stock,price,link
Ebay,Microsoft Xbox Series X 1TB consola de videojuegos,1,"$14,076.00",https://www.ebay.com/itm/114929275543?hash=item1ac2519297:g:8CQAAOSws~phEc89
Ebay,Microsoft Xbox Series X 1TB consola de videojuegos,1,"$18,123.40",https://www.ebay.com/itm/353520051456?epid=14040988378&_trkparms=ispr%3D1&hash=item524f6fe500:g:w~UAAOSw7yxfst4X&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSd0ReTLyM7cxPnI6zs468EFFakpvlH5mWcrQW9ztI%252FnrFI43jxXH1wDPhH2SlZzKlkVTax7TaBeO7bGsz0tewHvn5vLYvijTnawI7%252FU4QofnxNonzscYxg65Bt7amb1x9zG%252BC4Ku5IFNI5rcSgA%252BYebkZU7Wlql6ZpE5jAIhyS7Cpo9LhAyEaXwRtU0JOz05WHIOI8mi9Ms%252F33m6256fbA8m%252BkeNCgQtHgsDvb9j%252BPzeGyK%252Fbx2fKu1daCXn%252Bn331rvUFLre2hdKYHx2Il%252BSq4m9Z9R3nhBia8oOqt76kN9Onn%252F2j8133QGRxj23Ex3GYG96gbq72UFNBE2bpVJhHE%252Fzowoce%252Bpwx81cARBfmgqTRcfxkTBSvQMFoUfqhJRahJgsNgxHarFZin2eelFr%252BfpUxyJ7ajcFfXl3nA0NZ4jtYqbL9Hj2MICGHAS%252FzLvvoj1WO5WdOfRNwiZkGQzf0XH5mARq57NkIhKKP6oqrvbWHlcwmfSDtRP%252BUI0qABBAglU81csVrgrpU5HegLmAFrvXa1nAFTIIx%252Fg22f5oBAufAmspshwQpZ5QHankC7PYmN0feGBih9xeHwsnfqlFRdKil9sigMOlTHVwsMZ0kIg6h79Aebo%252BeF0XoHgknShgPmyP8jEj3wtApTZFc08fPA0hghCejU9jfJFZmTVNbqLkwkXuQF%252FE7z0DLNz4o0pTPEphgCuiHwFgrZYG4cLaLQ%252FkCNJC2%252BYb8%252BZyynb7bsC16Cq2j24Pj%252Bee0YzRn1CW58yBV4FgosvOOjwoLJbFhPVhO08DaENRrcX0hXH8GppuZmltbgJCgbA48VukLlvXO%7Campid%3APL_CLK%7Cclp%3A2334524
Ebay,Microsoft Xbox Series X 1TB consola de videojuegos,1,"$9,967.98",https://www.ebay.com/itm/184992466499?epid=14040988378&hash=item2b12690643:g:dHkAAOSwnwpfZNX9
Ebay,Microsoft Xbox Series X 1TB consola de videojuegos,1,"$16,089.73",https://www.ebay.com/itm/284240171440?epid=14040988378&hash=item422e08d1b0:g:87cAAOSwyl9gZJ9p
Ebay,Microsoft Xbox Series X 1TB consola de videojuegos,1,"$14,789.87",https://www.ebay.com/itm/265261703248?epid=5041001381&hash=item3dc2d46050:g:Jn4AAOSwCIxhEQqe
Ebay,Microsoft Xbox Series X 1TB consola de videojuegos,1,"$12,283.78",https://www.ebay.com/itm/124843973025?epid=14040988378&hash=item1d1147d9a1:g:ZTIAAOSwJG5hD8jq
Ebay,Microsoft Xbox Series X 1TB consola de videojuegos,1,"$16,268.85",https://www.ebay.com/itm/154564595263?epid=5041001381&hash=item23fcc48e3f:g:1hMAAOSwUO5hEpv8
Ebay,Microsoft Xbox Series X 1TB Console - Nero,1,"$14,561.17",https://www.ebay.com/itm/194276860375?epid=7040996743&hash=item2d3bcda1d7:g:dHkAAOSwnwpfZNX9
Ebay,Microsoft Xbox Series X 1TB consola de videojuegos,1,"$16,033.98",https://www.ebay.com/itm/403063923217?epid=11040984849&hash=item5dd87b6211:g:-wQAAOSw85JhFAZk
Ebay,Microsoft Xbox Series X 1TB listo para enviar con ,1,"$15,529.21",https://www.ebay.com/itm/363500191861?epid=5041001381&hash=item54a24cc075:g:DGcAAOSwsZdhEd89
Ebay,Nueva Microsoft Xbox Series X 1TB consola de video,1,"$18,633.32",https://www.ebay.com/itm/224418506867?_trkparms=ispr%3D1&hash=item344062a873:g:5AUAAOSwEbNgxvcl&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSvtkx670Z0mbyfWqmxLFLYZ5xqGq5QmiAmgnH1BuuJ%252FsPctSUr4pF8tjyyDFMfEaYfdc5oZUi8EUdTLk%252Bpn1wr6qxD9rHFJVR87B7jIc%252BlLuB2H%252BDCQr6G8L0UnaNmlbwuWiEXfpPnmYRfiHtxa%252FTCPl4MwUu74IpVNTfpwzzrzIK44RYoWOGZCiot3ulhXZMeq80c47zgkXJiDz22jNk0%252FbC59fnad%252BZWdZYN98%252FLCy1kDPo3cmrq9SnkQ1aIwJqeTOpPuFA8k2SFDILLMHLdKiG3y3xEBdOqzfW4RtxdgyWK8v3PHrg7szAGZFy%252FqilsV1OVxMJnvDXB22fu9BrQxdRIG7Dg0Q0fRtcNWy5umdjTK23%252FlDk%252Fz5O%252FBZe7TgfWCQbXuGwTSQ2Z3GOPTl97UvDvKZgP2BgNJQ75MO5EU4PE1pPFTimXEGTGrF0B8lrPksybzkhyIqsJIF%252Ba5fkHnUaMUf4hXkNOoKuofOC53VKt%252BRQF46evWMv4rE8r78z094iPtB8cGC04l5oIFfvWR%252FyaX7fdSOj7g67JY%252BBwsAPNhQ2eumG1coylVbd6y04db6OtCFOb1cgbWec9tku13H%252FWCxJtbPlWdib2p9N5fL7LbzjipA0hqOc4D4uGClkTVYjlfdVBy07rIsd2VbU%252FdiQqxAa6k%252FJpWWSc78aVkOu5dC%252FTF94rShGFwl%252FvgCk3AMLfvQyTI7mDshwnyk5lg0PiEu35gfVU8pxUwPwuiHPUTLvWzP94OCiCQSwBoQvEaSIjxMXiKnY3RsaGDNizknC5m%252F9qdXCKuth9ev%252FRGQYQ0%252B0FBq6y%252BkDqjN4NfGx%7Campid%3APL_CLK%7Cclp%3A2334524
Ebay,Microsoft Xbox Series X 1TB consola de videojuegos,1,"$16,312.83",https://www.ebay.com/itm/403063550661?epid=11040984849&hash=item5dd875b2c5:g:fGYAAOSwuJZgqCyU
Ebay,Microsoft Xbox Series X 1TB consola de videojuegos,1,"$16,731.11",https://www.ebay.com/itm/393497656170?epid=11040984849&hash=item5b9e49bb6a:g:294AAOSwMqNhEo0S
Ebay,Vendedor de confianza-Microsoft Xbox Series X 1TB,1,"$17,008.35",https://www.ebay.com/itm/384319483174?hash=item597b39ed26:g:GY0AAOSwxk5hEF1c
