provider,name,stock,price,link
Newegg,Nintendo Switch Console with Neon Blue and Neon Re,1,"$7,983",https://www.newegg.com/global/mx-en/black-red-blue-nintendo-hadskabaa-switch-console-with-neon-blue-and-neon-red-joy-con/p/N82E16878190842?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-78-190-842-_-Product
Newegg,Nintendo Switch Console with Gray Joy-Con,1,"$8,079",https://www.newegg.com/global/mx-en/nintendo-045496882167-switch-console-with-gray-joy-con/p/N82E16878190847?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-78-190-847-_-Product
Newegg,Nintendo Switch Lite - Gray,1,"$5,647",https://www.newegg.com/global/mx-en/grey-hdhsgazaa-nintendo-switch-lite-console/p/N82E16878190839?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-78-190-839-_-Product
Newegg,Nintendo Switch - Animal Crossing: New Horizons Ed,1,"$7,780",https://www.newegg.com/global/mx-en/gray-hadskaaaa-nintendo-switch-console/p/3BJ-0001-001W7?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-3BJ-0001-001W7-_-Product
Newegg,Nintendo Switch Lite - Blue,1,"$5,575",https://www.newegg.com/global/mx-en/blue-hdhsbbzaa-nintendo-switch-lite-console/p/N82E16878190913?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIABMTERA6354-_-Product
Newegg,Nintendo Switch - Mario Red & Blue Edition,1,"$9,568",https://www.newegg.com/global/mx-en/p/3BJ-0001-003U4?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIABMTFF58033-_-Product
Newegg,Nintendo Switch Lite - Coral,1,"$5,555",https://www.newegg.com/global/mx-en/coral-045496882662-nintendo-switch-lite-console/p/N82E16878190876?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-78-190-876-_-Product
Newegg,2020 New Nintendo Switch Animal Crossing: New Hori,1,"$10,824",https://www.newegg.com/global/mx-en/p/3BJ-0001-001S5?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-3BJ-0001-001S5-_-Product
Newegg,Nintendo Switch - Neon Blue/Neon Red Joy-Con + Mar,1,"$10,326",https://www.newegg.com/global/mx-en/gray-hadskabld-nintendo-switch-bundle/p/3BJ-0001-003G9?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-3BJ-0001-003G9-_-Product
Newegg,Nintendo Switch 32GB Console with Gray Joy-Con,1,"$8,084",https://www.newegg.com/global/mx-en/nintendo-hacskaaaa-switch-console-with-gray-joy-con/p/N82E16878190654?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIABMTE6A4260-_-Product
Newegg,Nintendo Switch Lite - Turquoise,1,"$5,194",https://www.newegg.com/global/mx-en/turquoise-hdhsbazaa-nintendo-switch-lite-console/p/N82E16878190838?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-78-190-838-_-Product
Newegg,Nintendo Nintendo Switch - Animal Crossing New Hor,1,"$7,780",https://www.newegg.com/global/mx-en/blue-green-045496882648-nintendo-switch-bundle/p/N82E16878190873?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-78-190-873-_-Product
Newegg,Nintendo Switch Animal Crossing: New Horizons Edit,1,"$8,406",https://www.newegg.com/global/mx-en/p/3BJ-0001-003M7?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIABMTD3P6621-_-Product
Newegg,Nintendo Switch 32GB Console with Neon Blue and Ne,1,"$7,983",https://www.newegg.com/global/mx-en/neon-hacskabaa-nintendo-switch/p/N82E16878190655?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIABMTE6A4259-_-Product
Newegg,Nintendo Switch Lite - Yellow,1,"$5,508",https://www.newegg.com/global/mx-en/yellow-hdhsyazaa-nintendo-switch-lite-console/p/N82E16878190835?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIANZYBWJ9046-_-Product
Newegg,2021 Nintendo Switch Console - Edition Monster Hun,1,"$12,730",https://www.newegg.com/global/mx-en/p/3BJ-0001-003T0?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIAN2HDP11616-_-Product
Newegg,2021 New Nintendo Switch Mario Red & Blue Limited ,1,"$10,118",https://www.newegg.com/global/mx-en/p/3BJ-0001-003T2?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIA6V6DSV2117-_-Product
Newegg,2021 New Nintendo Switch Mario Red & Blue Limited ,1,"$11,295",https://www.newegg.com/global/mx-en/p/3BJ-0001-00758?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIA6V6EWN9132-_-Product
Newegg,"Nintendo Switch Console with Gray Joy-con, 1st Gen",1,"$8,468",https://www.newegg.com/global/mx-en/p/3BJ-0001-00515?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIAD35ED89922-_-Product
Newegg,Nintendo Switch Lite Console - Gray - With 128GB M,1,"$6,588",https://www.newegg.com/global/mx-en/gray-hdhsgazaa-nintendo-switch-lite-bundle/p/3BJ-0001-001Z0?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIA6V6BAX1525-_-Product
Newegg,Nintendo Switch Console Gray Joy-Con,1,"$8,054",https://www.newegg.com/global/mx-en/p/3BJ-0001-00085?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIABMTDYP6100-_-Product
Newegg,Nintendo Switch Joy-Con (L)/(R) Fortnite Fleet For,1,"$2,117",https://www.newegg.com/global/mx-en/p/N82E16878190911?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIA6V6EWY3364-_-Product
Newegg,Nintendo Switch Pro Controller - Nintendo Switch,1,"$1,791",https://www.newegg.com/global/mx-en/nintendo-045496590161-controller/p/N82E16878190669?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-78-190-669-_-Product
Newegg,Nintendo Switch Lite - Coral,1,"$6,179",https://www.newegg.com/global/mx-en/coral-nintendo-lite-hdhspazaa-nintendo-switch-lite-console/p/3BJ-0001-001Y6?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIAN2HB8D4158-_-Product
Newegg,Nintendo Switch Monster Hunter Rise Deluxe Edition,1,"$11,059",https://www.newegg.com/global/mx-en/p/3BJ-0001-004Y0?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIA6V6E8E5637-_-Product
Newegg,Nintendo Switch Lite (Blue) Gaming Console Bundle ,1,"$7,074",https://www.newegg.com/global/mx-en/p/3BJ-0001-00732?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIABMTERK8782-_-Product
Newegg,Nintendo Switch Fortnite Wildcat Limited Console S,1,"$13,648",https://www.newegg.com/global/mx-en/p/3BJ-0001-00473?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIA6V6E8D4525-_-Product
Newegg,Nintendo Switch Lite (Coral) Bundle with Animal Cr,1,"$7,496",https://www.newegg.com/global/mx-en/p/3BJ-0001-00525?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIABMTEE33242-_-Product
Newegg,2019 New Nintendo Switch Lite Gray Bundle with Pok,1,"$6,588",https://www.newegg.com/global/mx-en/gray-hdhsgazaa-nintendo-switch-lite-bundle/p/3BJ-0001-00104?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIA6V6A379006-_-Product
Newegg,Nintendo Switch Lite (Yellow) Bundle with Animal C,1,"$6,643",https://www.newegg.com/global/mx-en/p/3BJ-0001-002S4?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIABMTC241360-_-Product
Newegg,2019 New Nintendo Switch Red/Blue Joy-Con Console ,1,"$15,531",https://www.newegg.com/global/mx-en/p/3BJ-0001-000R9?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIA6V6A175207-_-Product
Newegg,Nintendo Switch with Neon Blue & Neon Red Joy-Con ,1,"$8,557",https://www.newegg.com/global/mx-en/blue-hadskabaa-nintendo-switch-console/p/3BJ-0002-00010?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-3BJ-0002-00010-_-Product
Newegg,2019 New Nintendo Switch Red/Blue Joy-Con Improved,1,"$10,118",https://www.newegg.com/global/mx-en/black-hadskabaa-nintendo-switch-bundle/p/3BJ-0001-00138?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIA6V6A3E1847-_-Product
Newegg,2019 New Nintendo Switch Gray Joy-Con Improved Bat,1,"$10,118",https://www.newegg.com/global/mx-en/black-hadskaaaa-nintendo-switch-bundle/p/3BJ-0001-00170?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIA6V6A3E1888-_-Product
Newegg,2019 New Nintendo Switch Red/Blue Joy-Con Improved,1,"$10,118",https://www.newegg.com/global/mx-en/black-hadskabaa-nintendo-switch-bundle/p/3BJ-0001-00146?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIA6V6A3E1855-_-Product
Newegg,2019 New Nintendo Switch Gray Joy-Con Improved Bat,1,"$10,118",https://www.newegg.com/global/mx-en/black-hadskaaaa-nintendo-switch-bundle/p/3BJ-0001-00178?Description=Nintendo Switch&cm_re=Nintendo_Switch-_-9SIA6V6A3E1896-_-Product
