provider,name,stock,price,link
CyberPuerta,"Computadora Gamer Xtreme PC Gaming CM-30015, Intel Core i7-10700F 2.90GHz, 16GB, 2TB + 500GB SSD, NVIDIA GeForce RTX 3060, Windows 10 Prueba",30,"$36,959.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-30015-Intel-Core-i7-10700F-2-90GHz-16GB-2TB-500GB-SSD-NVIDIA-GeForce-RTX-3060-Windows-10-Prueba.html
CyberPuerta,"Computadora Gamer Xtreme PC Gaming CM-412, AMD Ryzen 5 3600 3.60GHz, 16GB, 1TB + 480GB SSD, NVIDIA GeForce GTX 1660 SUPER, Windows 10 Prueba, Negro",43,"$27,209.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-412-AMD-Ryzen-5-3600-3-60GHz-16GB-1TB-480GB-SSD-NVIDIA-GeForce-GTX-1660-SUPER-FreeDOS-Negro.html
CyberPuerta,"Computadora Gamer Xtreme PC Gaming CM-05022, Intel Celeron N3050 1.60GHz, 8GB, 500GB, FreeDOS  ―  incluye Monitor de 18.5"", Teclado y Mouse",11,"$5,889.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-05022-Intel-Celeron-N3050-1-60GHz-8GB-500GB-FreeDOS-incluye-Monitor-de-18-5-Teclado-y-Mouse.html
CyberPuerta,"Computadora Gamer Xtreme PC Gaming CM-05024, AMD Ryzen 3 3200G 3.60GHz, 8GB, 1TB, Radeon Vega 8, FreeDOS",57,"$7,819.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-PC-Xtreme-PC-Gaming-CM-05024-AMD-Ryzen-3-3200G-3-60GHz-8GB-1TB-Radeon-Vega-8-FreeDOS.html
CyberPuerta,"Xtreme PC Computadora Gamer Xtreme PC Gaming CM-05017, AMD Ryzen 3 2200G 3.50GHz, 8GB, 1TB, AMD Radeon Vega 8, FreeDOS  ―  Incluye Monitor, Teclado y Mouse",70,"$10,659.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Xtreme-PC-Computadora-Gamer-Xtreme-PC-Gaming-CM-05017-AMD-Ryzen-3-2200G-3-50GHz-8GB-1TB-AMD-Radeon-Vega-8-FreeDOS.html
CyberPuerta,"Computadora Gamer Xtreme PC Gaming CM-50140, AMD Ryzen 5 3400G 3.70GHz, 8GB, 240GB SSD, Radeon Vega 11, FreeDOS - incluye Monitor/Teclado/Mouse",6,"$14,579.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-50140-AMD-Ryzen-5-3400G-3-70GHz-8GB-240GB-SSD-Radeon-Vega-11-FreeDOS-incluye-Monitor-Teclado-Mouse.html
CyberPuerta,"Computadora Gamer Xtreme PC Gaming CM-05306, AMD Ryzen 3 3200G 3.60GHz, 8GB, 240GB SSD, Radeon Vega 8, FreeDOS",30,"$8,709.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-05306-AMD-Ryzen-3-3200G-3-60GHz-8GB-240GB-SSD-Radeon-Vega-8-FreeDOS.html
CyberPuerta,"Computadora Gamer Xtreme PC Gaming CM-60072, AMD Ryzen 5 3600 3.60 GHz, 16GB, 480GB SSD, NVIDIA Geforce GTX 1650, FreeDOS",23,"$22,329.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-60072-AMD-Ryzen-5-3600-3-60-GHz-16GB-480GB-SSD-NVIDIA-Geforce-GTX-1650-FreeDOS.html
CyberPuerta,"Computadora Gamer Xtreme PC Gaming CM-05021, Intel Celeron J1800 2.41GHz, 8GB, 500GB, Wi-Fi, FreeDOS",105,"$3,939.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-05021-Intel-Celeron-J1800-2-41GHz-8GB-500GB-FreeDOS.html
CyberPuerta,"Computadora Gamer Grizzly, AMD Ryzen 5 PRO 4650G 3.70GHz, 16GB, 480GB SSD, Windows 10 Prueba",3,"$12,119.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-KOE-AMD-Ryzen-5-PRO-4650G-3-70GHz-16GB-480GB-SSD-Windows-10-Prueba-cp2.html
