provider,name,stock,price,link
Amazon,"Huawei P40 Lite - Smartphone 6.4"", 48 Mp Con Ia Ul",Hay Stock,"$5,899.00",https://www.amazon.com.mx/Huawei-P40-Lite-Smartphone-Desbloqueado/dp/B086BYKB4V/ref=sr_1_1?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=HUAWEI+smartphone&qid=1628690520&s=electronics&sr=1-1
Amazon,"Huawei Y5P - Smartphone 5.45"" Lcd (Ips), Cámara Tr",Hay Stock,"$2,898.00",https://www.amazon.com.mx/Huawei-Y5P-Smartphone-Procesador-Desbloqueado/dp/B08CMQS98R/ref=sr_1_3?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=HUAWEI+smartphone&qid=1628690520&s=electronics&sr=1-3
Amazon,"Huawei P40 Lite - Smartphone 6.4"", 48 Mp Con Ia Ul",Hay Stock,"$7,499.00",https://www.amazon.com.mx/Huawei-P40-Lite-Smartphone-Desbloqueado/dp/B086BZB99Y/ref=sr_1_4?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=HUAWEI+smartphone&qid=1628690520&s=electronics&sr=1-4
Amazon,"Huawei P40 Lite - Smartphone 6.4"", 48 Mp Con Ia Ul",Hay Stock,"$6,599.00",https://www.amazon.com.mx/Huawei-P40-Lite-Smartphone-Desbloqueado/dp/B08CVRMCM6/ref=sr_1_5?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=HUAWEI+smartphone&qid=1628690520&s=electronics&sr=1-5
Amazon,"HUAWEI P40, 128 GB, Smartphone 6.1"", OLED, 50+16+8",Hay Stock,"$14,479.24",https://www.amazon.com.mx/HUAWEI-P40-Smartphone-Color-Plata/dp/B08HPH1N1J/ref=sr_1_6?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=HUAWEI+smartphone&qid=1628690520&s=electronics&sr=1-6
Amazon,"HUAWEI nova 5T Smartphone, 48MP Cámaras IA, huella",No Stock,Ver Sitio,https://www.amazon.com.mx/HUAWEI-5T-Smartphone-dactilar-pantalla/dp/B07YLKSVTX/ref=sr_1_8?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=HUAWEI+smartphone&qid=1628690520&s=electronics&sr=1-8
Amazon,Huawei Y5 2018 DRA-L23 DUAL SIM visualización Full,Hay Stock,"$2,550.00",https://www.amazon.com.mx/Huawei-FullView-Smartphone-Unlocked-Internacional/dp/B07F2NRBNZ/ref=sr_1_9?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=HUAWEI+smartphone&qid=1628690520&s=electronics&sr=1-9
Amazon,HUAWEI P30 Pro 16.4 cm (6.47) 8 GB 128 GB Ranura h,Hay Stock,"$14,999.99",https://www.amazon.com.mx/HUAWEI-16-4-Ranura-h%C3%ADbrida-Multicolor/dp/B07PVG9QMW/ref=sr_1_12?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=HUAWEI+smartphone&qid=1628690520&s=electronics&sr=1-12
Amazon,"ZTE Blade V20 Smart 128G 4G LTE Smartphone 6.82"" H",Hay Stock,"$4,325.72",https://www.amazon.com.mx/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A04726452CHJ930S001WP&url=%2FZTE-Blade-Smart-Smartphone-Desbloqueado%2Fdp%2FB08M9YMJCQ%2Fref%3Dsr_1_14_sspa%3F__mk_es_MX%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3DHUAWEI%2Bsmartphone%26qid%3D1628690520%26s%3Delectronics%26sr%3D1-14-spons%26psc%3D1&qualifier=1628690520&id=3715728088301197&widgetName=sp_mtf
Amazon,"HUAWEI Y7a Smartphone, 4 GB de RAM, 64 GB de RAM, ",Hay Stock,"$4,199.00",https://www.amazon.com.mx/HUAWEI-Smartphone-reproducci%C3%B3n-desbloqueado-internacional/dp/B091Q6RH8T/ref=sr_1_22?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=HUAWEI+smartphone&qid=1628690520&s=electronics&sr=1-22
