provider,name,stock,price,link
Amazon,Apple iPhone 11 (128 GB) - Blanco,Hay Stock,"$18,499.00",https://www.amazon.com.mx/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A05791992K3O7P1564F3G&url=%2FApple-iPhone-11-128-GB-Blanco%2Fdp%2FB08GH57Z8X%2Fref%3Dsr_1_1_sspa%3F__mk_es_MX%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3DiPhone%26qid%3D1628689930%26s%3Delectronics%26sr%3D1-1-spons%26psc%3D1&qualifier=1628689930&id=7462872570648664&widgetName=sp_atf
Amazon,"Apple iPhone X, 64GB, Space Gray - Fully unlocked-",Hay Stock,"$7,699.99",https://www.amazon.com.mx/Apple-iPhone-desbloqueado-Refurbished-espacial/dp/B07757R58W/ref=sr_1_5?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=iPhone&qid=1628689930&s=electronics&sr=1-5
Amazon,"Apple iPhone 11 (renovado), Totalmente Desbloquead",Hay Stock,"$11,899.00",https://www.amazon.com.mx/Apple-iPhone-renovado-Totalmente-Desbloqueado/dp/B07ZPKN6YR/ref=sr_1_6?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=iPhone&qid=1628689930&s=electronics&sr=1-6
Amazon,Apple iPhone XR Desbloqueado (Reacondicionado),Hay Stock,"$7,499.00",https://www.amazon.com.mx/APPLE-Smartphone-iPhone-XR-Desbloqueado/dp/B07TVFSWPH/ref=sr_1_7?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=iPhone&qid=1628689930&s=electronics&sr=1-7
Amazon,"Apple iPhone SE 2020 Renewed (Negro, 64GB)",Hay Stock,"$6,099.99",https://www.amazon.com.mx/Apple-iPhone-2020-Renewed-Negro/dp/B088NQXD8T/ref=sr_1_8?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=iPhone&qid=1628689930&s=electronics&sr=1-8
Amazon,"Apple iPhone 11 Pro Max, 256GB, Totalmente Desbloq",Hay Stock,"$19,099.99",https://www.amazon.com.mx/Apple-iPhone-Renovado-Verde-Midnight/dp/B07Z4681LQ/ref=sr_1_9?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=iPhone&qid=1628689930&s=electronics&sr=1-9
Amazon,"Apple iPhone XR, US Version, 128GB, Red - Unlocked",Hay Stock,"$8,399.99",https://www.amazon.com.mx/Apple-iPhone-Totalmente-Desbloqueado-128/dp/B07P611Q4N/ref=sr_1_10?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=iPhone&qid=1628689930&s=electronics&sr=1-10
Amazon,"Apple iPhone 7, 32GB, Rose Gold - Fully Unlocked (",Hay Stock,"$3,099.99",https://www.amazon.com.mx/Apple-iPhone-32GB-Rose-Gold/dp/B07TVVWNBG/ref=sr_1_12?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=iPhone&qid=1628689930&s=electronics&sr=1-12
Amazon,"Apple iPhone 7, 32GB, Silver - Fully Unlocked (Ren",Hay Stock,"$3,299.99",https://www.amazon.com.mx/Apple-iPhone-32GB-Silver-Unlocked/dp/B07Q4LX4JP/ref=sr_1_13?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=iPhone&qid=1628689930&s=electronics&sr=1-13
Amazon,"Apple iPhone SE 2020 Renewed (Blanco, 64GB)",Hay Stock,"$6,199.99",https://www.amazon.com.mx/Apple-iPhone-SE-2020-Renewed/dp/B088NQSLGN/ref=sr_1_14?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=iPhone&qid=1628689930&s=electronics&sr=1-14
