provider,name,stock,price,link
Ebay,Nintendo Switch (Rojo y Azul Joy-Con) y accesorios,1,"$5,839.63",https://www.ebay.com/itm/193174768018?epid=16029037217&hash=item2cfa1d0992:g:n8QAAOSwdepfKFw0
Ebay,Nintendo Switch Consola Crossing Fortnite Mario Ka,1,"$7,148.55 a $7,450.61",https://www.ebay.com/itm/154555601628?epid=28045277354&_trkparms=ispr%3D1&hash=item23fc3b52dc:g:zYoAAOSwhnlhCWRv&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStEKTPzZMfQmny3knR97t0NcHf1wULa1qfwyVbt9bVFYaG9mTgPPwj%252B7NkSGIkxCRz0S1OlnRa6jWXa00D1G2vqX%252BRzSOnKLY8i6fR5pMU0b9JHIP5iqrleIsvAHz8IEd48ltJl4SgnXwq2fx7R1awPoa%252BzYbyWYzyUMTVfKn09vGxUezOzv%252B46lJAQKvdwhTBrBPXs9WPSyKjIQMSyA0B5U1VrHShAR69hqUtBvuayqbPi0n88BE%252Fxrl41ob7ProoQm%252B6UBj%252FlDWe4n3bTkygnngYR5%252BM3m3f72Mrm8Hsy%252FnTaHHFWNsAS5AZlvZE2sEC107c0klETcOV2D37GnuwKjYM%252BXxM8hLguKB4N82H%252FrAAhhMDzD8RDSn2npjenJP8yaJT8VL4ddB1griqHN%252BZBd34h60V9hsh6xROG2Lmij2Q%252B9%252BKSyJHw5tQTX4YDuZfLvYbmBl29uYVZnWDQsewtEtk11RfirAUIo261KaO7el6mrHHOh2H1ggQl8vRL4rj5r47C7RVtcHV3i6R8GPif7RzwkFzGxk4iG4giwdVTeQCkfFUBHngyz1BvGNp5DG833U7WiRfxoyVsKFshxu%252FcoSET4FTIjP7b8QNpQ9yACtPmdVVOi%252BmO7Y0TU9fU3cQ7R%252FvqUq5QLc8yBX0jUi8xPP7Ukrjo1OR6uglHPHuEbHPYFCFBG5aPgApCDJUdhcXaTepzaJ3SaLzf47dj1mfEl%252Bwp0oHXhX4AZjhQq9aJaEH5%252FrdxGkeIlwCOd1Eqkl%252BGa1yqxPZTCX1BqIpUf%252B3B0zugGf9USzlCo5v4masxq3dMdvxGTSvjZYuLkoqjVT%7Campid%3APL_CLK%7Cclp%3A2334524
Ebay,Sólo para 32 GB Nintendo Switch Neón Rosa/Verde Ne,1,"$4,329.33",https://www.ebay.com/itm/393479023263?_trkparms=ispr%3D1&hash=item5b9d2d6a9f:g:W20AAOSwbiRhB651&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSU8qUIAeVPdz29zRlje3Lg84jacbIynvM6T5YlrScfT3vyBU2sZ92BIxzxfIubdA0R18P6W5VETCdE7JJ0hwuJiO4Ls5LTiOAZQ5AizgcONXXijLpyzucXiy9hdkbC3M1tmDGOi1MZ5VgrUIZGaKpr3Q7vzS50FS0V9Yuj9BVOiX11Rc5YMsLubSZXdBd6E3f55C%252FHqfUju08tc5G%252FEGs1JiEojnPmll96e%252FeT%252BDRaphVhG31mwH1Cgk3MS1H%252BaNRhjcURbBQaJ%252FF5vL1m5f4%252BZm7Fr0DlA636dDdIww26sBg7epaiclEiq4R4bj0JV3LwlWUcOdu4aMsvs5ahJtEeucDRIcy%252BWqWcAZdPmSoFQYjqyqFhuB95vv3x%252FQb7rMBa5af3VpssFm50ws%252BSZFA2n27%252FqjzdLArZGm13PtHsd97IJU%252Fqv2XHI2MTimoIKSedG7Hl29YZrKcaIo6g0TNEaEK8Dapxa7QLQv%252BQpClS5hp5PA7ZjKqP5G%252FFpK3%252BH6nV8OdxJgtx8%252Fm1NSYphcQh6xZz%252F2WdOWVDOnwyh72eMXIbyaNE0ePtKWxkM8A%252BpF4fAvCLNG5n2WW3%252Bsf2YkS9lySRT9uNEEBchoeo5FXGFfxKiVhDGDNMqOtx3WE4wqinBuiYRx2ansfxPlKOweKxZN0YAPMZM6S56bN5NNUeeez8Z4NMYuHRyuB4CQQ4tsYeeN9tLFNZi5KfpvH99JVNUpY1XlH7mFEuE5K6FHigIgqqNJJG6Xs5dW8EToVu6a4836x%252FnPmahXCW%252BiwGsHCe9th%252BcQTFdQ7RhJamOMtRX4L6A3Ow4aM%252BeenpaKGd237%7Campid%3APL_CLK%7Cclp%3A2334524
Ebay,Nintendo Switch Solo Consola Sin Parche Hackable b,1,"$5,014.20",https://www.ebay.com/itm/224534588932?_trkparms=ispr%3D1&hash=item34474dee04:g:JCQAAOSw0~deyEtr&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSvtkx670Z0mbyfWqmxLFLYbUcFUKvYhzE1bxFvzMbBbgfhSmN%252B%252FPCf9X8dJvykbJltw9%252B1bn%252BjZ1TjuoEXdLZxVHA%252B37GeBBJQ0CbD7gew6pRF%252F7R%252FS3QGfRkeR8np4LGZNbntjaF2mfjl%252Fq7ArB4VwqdiKvRoDQakohn%252FQNhKFO0CWjKZ5Pq4kTGyZ91N3sMwJ05i3uF6mqNY6I8v%252FRjoiw8yfPpp6YxbK5ayBZfFN0C%252F2zi71Mme0AqTUyahmnFs9DcNE4DUZsEopbjond3G1LvBQBq2xl9wNvHK3xSbf%252BQyG1Lu1rHnDjHP2ZCYxDULHmO1mQYseNWt4dIf7S5T%252FOTRrl0PqOIetfQQ9SgcJ20mx9kARo8%252BdipRRqfRLdli5gNyRzlXt1wNXG4yJHfhwFoxnzouAJpqcur4wsgivUOcqlO4efTUmSdEXGCEUl6MJO%252F71%252BwWqkfU43DaVnuJgGSAz%252FZeqXnzzKM7A%252BIPW5L%252BOOHEmxg%252FNU7cdmS3nx4TfpDSHlB0fi7k2Niww7j5QYLSoRnuQrlViMnUUebWQT8rrAdCOq32tHl18cs4c23oZsJNsggfmoqHwXYW3GAU%252FljUgLb6vm1864WandgAXqPEE6OszRMOgxJ4g%252FeLfvIdRQFy1It5dzdJcuuuBn7Z3a7j5WawS9XNXnJ1nzINybsjHwrG9iMrzMNXpR92geF5VWANIYe4EcbQOvB51aE3rgDxkMfT3VNxAkkGWjTnCXU4EVpkhlbBzAJSt%252B4NiF4iSCbIgm2Yb2vgfr8ltUwSw3UXzS9wUz8jhPavJFwhfoT6x0J2k3DsBl8zRO9TByg%7Campid%3APL_CLK%7Cclp%3A2334524
Ebay,Nintendo Switch-HAC-001 (-01) - SOLO CONSOLA TABLE,1,"$2,366.14",https://www.ebay.com/itm/324746718755?epid=21043432595&hash=item4b9c69ae23:g:7zcAAOSwrKNhEbH-
Ebay,Consola de videojuegos portátil Nintendo Switch-Ne,1,"$5,398.30",https://www.ebay.com/itm/304098816945?epid=28039898951&hash=item46cdb3b3b1:g:ahwAAOSwo0NhCts-
Ebay,Nintendo Switch CON ATMOSPHERE modificata SD 128GB,1,"$9,439.74",https://www.ebay.com/itm/154564732078?hash=item23fcc6a4ae:g:1IkAAOSwJeBgUlw6
Ebay,Leer Descripción! Crossing Nintendo Switch Consola,1,"$3,925.77",https://www.ebay.com/itm/383830366015?epid=4037037457&hash=item595e12973f:g:0gQAAOSwwiFfwBzT
Ebay,Nintendo Switch HAC-001 (-01) 32GB Consola con ale,1,"$3,554.24",https://www.ebay.com/itm/133841637687?epid=25034355190&hash=item1f29955137:g:7BgAAOSwiCNg~fgn
Ebay,Nintendo Switch Lite zacian y Zamazenta (Pokemon) ,1,"$3,067.37",https://www.ebay.com/itm/304099766843?hash=item46cdc2323b:g:d2wAAOSwIUVhER08
