name,stock,price,link
"Computadora Gamer Xtreme PC Gaming CM-60072, AMD Ryzen 5 3600 3.60 GHz, 16GB, 480GB SSD, NVIDIA Geforce GTX 1650, FreeDOS",38,"$22,329.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-60072-AMD-Ryzen-5-3600-3-60-GHz-16GB-480GB-SSD-NVIDIA-Geforce-GTX-1650-FreeDOS.html
"Computadora Lenovo V50s SSF, Intel Core I3-10100 3.60GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit",26,"$12,829.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Lenovo-V50s-SSF-Intel-Core-I3-10100-3-60GHz-8GB-256GB-SSD-Windows-10-Pro-64-bit.html
"Computadora Kit HP 280 G5 SFF, Intel Core i3-10100 3.60GHz, 8GB, 1TB, Windows 10 Pro 64-bit + Teclado/Mouse",96,"$10,549.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-HP-280-G5-SFF-Intel-Core-i3-10100-3-60GHz-8GB-1TB-Windows-10-Pro-64-bit.html
"Computadora Dell Vostro 3681, Intel Core i3-10100 3.60GHz, 4GB, 1TB, Windows 10 Home 64-bit",121,"$9,309.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Dell-Vostro-3681-Intel-Core-i3-10100-3-60GHz-4GB-1TB-Windows-10-Home-64-bit.html
"Computadora Kit Dell Vostro 3681, Intel Core i7-10700 2.90GHz, 8GB, 1TB, Windows 10 Pro 64-bit + Teclado",148,"$17,019.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Dell-Vostro-3681-Intel-Core-i7-10700-2-90GHz-8GB-1TB-Windows-10-Pro-64-bit.html
"Computadora Gamer Xtreme PC Gaming CM-05021, Intel Celeron J1800 2.41GHz, 8GB, 500GB, Wi-Fi, FreeDOS",52,"$3,939.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-05021-Intel-Celeron-J1800-2-41GHz-8GB-500GB-FreeDOS.html
"Computadora Gamer Xtreme PC Gaming CM-09200, AMD Ryzen 3 3200G 3.60GHz, 8GB, 1TB, Radeon Vega 8, FreeDOS",67,"$9,699.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-09200-AMD-Ryzen-3-3200G-3-60GHz-8GB-1TB-Radeon-Vega-8-FreeDOS.html
"Computadora Kit Lenovo V50s, Intel Core i5-10400 2.90GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit + Teclado/Mouse",3,"$15,009.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Kit-Lenovo-V50s-Intel-Core-i5-10400-2-90GHz-8GB-256GB-SSD-Windows-10-Pro-64-bit-Teclado-Mouse.html
"Computadora Gamer Xtreme PC Gaming CM-78048, AMD Ryzen 5 2400G 3.60GHz, 8GB, 240GB SSD, WiFi, Windows 10 Prueba",17,"$9,679.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-78048-AMD-Ryzen-5-2400G-3-60GHz-8GB-240GB-SSD-WiFi-Windows-10-Prueba.html
"Computadora Gamer Grizzly, Intel Core i5-10400F 2.90GHz, 16GB, 1TB + 256GB SSD, NVIDIA GeForce RTX 3060, Windows 10 Prueba   ―  incluye Mousepad, Gorra y Landyard",5,"$34,329.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Supergamer-Grizzly-Intel-Core-i5-10400F-2-90GHz-16GB-1TB-256GB-SSD-NVIDIA-GeForce-RTX-3060-Windows-10-Prueba.html
"Computadora Gamer KOE, AMD Ryzen 5 PRO 4650G 3.70GHz, 16GB, 480GB SSD, Windows 10 Prueba",3,"$12,079.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-KOE-AMD-Ryzen-5-PRO-4650G-3-70GHz-16GB-480GB-SSD-Windows-10-Prueba-cp2.html
