provider,name,stock,price,link
Ebay,"EVGA GeForce RTX 3080 FTW3 ULTRA Juegos, 10G-P5-38",Hay Stock,"$33,166.19",https://www.ebay.com/itm/124847912052?_trkparms=ispr%3D1&hash=item1d1183f474:g:ylcAAOSwoxZhEy3v&amdata=enc%3AAQAGAAACgPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSxXDXcCydCuSj2Tq2S%252F3GnvY49Cm5DzdbGnfZTMZreQ4BEQbttgP0fQQ9kAmwSqIUCINxIxjcudSuzD5Ky5UO2lBbko2SdqIfxQec3XJf0bNZSrj3nzYGc9TrACALorY3byAuu1lurnq3dN1HnH6AmnNMdOVZ7g9pzHIJOAdbaOFxnv7AtiIgNy3Ylq9xZ8lQHbNOKQ%252BitgfVGgt7ykaYFsocvqpuqRM9mpbB5aVPFznIzK8RdcX%252Fah4M0u68ppw%252FdVHSjll%252FCWPNQ9EJ7cRuTaZlhsf60L%252BX07nIPb3kzSz9qjpnW7PPu9qCIb%252FkYj68ikeh3YKqQCBfDXlDAz6ojLsp8WDFUeNljIi1kV4katNb0ylsSEP1X25LqRxpp9%252BJZBwaZWkuRhIJK5Rcbmu7mS1Mo2PA3CDER3BVVnXHCLUDJuux6YAhZH33vi0Ej%252BZ9qdm3jRFRUpNV5VUyCdgIWSWu8qzSl%252B0Yi5Bw0Z6dlNx0HCC2FpbI7kyn6mJF4BfSUnOV1Xj3lzwI5BKIomodB0mBWdOpRxQQcc2VBtzJzoA1gyTympDG56hXVhwHUPEg7ThhiuGDMM%252FEp7n%252BE%252FcqFujZ5m%252Ba2044fza06ZnLf9ftpnW7hY6aagYXwnKB7tMpoAIGefEfqvnQfiLpkIWesu6AO7a6wstjrlAsfg8OC60HS4eh83hMfwtiYhI1NVz0kVw0DLtjZWUU3jmVVmF3SDvYaFuXG2REyeoLwx%252BJU5M9P2kwOzp8eZG50dP6WIwxfHLXSKj44mMbIl24XehVDiGYGVs9bltXgDssShqJfCs%253D%7Campid%3APL_CLK%7Cclp%3A2334524
Ebay,Gigabyte GeForce RTX 3080 Gaming OC waterforce WB ,Hay Stock,"$29,579.73",https://www.ebay.com/itm/284398657089?hash=item42377b1e41:g:aVMAAOSwWWxhDOJh
Ebay,NVIDIA GeForce RTX 3080 Founders Edition tasa de d,Hay Stock,"$34,233.47",https://www.ebay.com/itm/255064617678?hash=item3b630932ce:g:aAUAAOSw~vdg95FT
Ebay,ASUS ROG Strix GeForce RTX 3080 OC 10GB Graphics D,Hay Stock,"$24,260.10",https://www.ebay.com/itm/274894660722?hash=item4000ffa472:g:qNYAAOSwKfBhDcfn
Ebay,"EVGA GeForce RTX 3080 XC3 ULTRA híbrido de juegos,",Hay Stock,"$26,158.40",https://www.ebay.com/itm/284404450180?epid=17048084695&hash=item4237d38384:g:L9MAAOSwDCNhEsgf
Ebay,EVGA GeForce RTX 3080 XC3 gráficos ultra 10GB Tarj,Hay Stock,"$26,212.07",https://www.ebay.com/itm/184979499388?epid=15041887011&hash=item2b11a3297c:g:3gAAAOSwlv9hCRx7
Ebay,Asus TUF GeForce RTX 3080 OC 12GB GDDR 6X Tarjeta ,Hay Stock,"$20,635.03",https://www.ebay.com/itm/274894660481?hash=item4000ffa381:g:6qsAAOSweZJhDcX1
Ebay,ASUS ROG STRIX GeForce RTX 3080 GUNDAM EDITION grá,Hay Stock,"$37,757.51",https://www.ebay.com/itm/294325513174?hash=item44872aebd6:g:VtMAAOSw2jVhEXv7
Ebay,NVIDIA GeForce RTX 3080 Founders Edition Tarjeta d,Hay Stock,"$40,073.10",https://www.ebay.com/itm/184992248789?hash=item2b1265b3d5:g:9vwAAOSwPzRhEvao
Ebay,EVGA GeForce RTX 3080 XC3 gráficos ultra 10GB Tarj,Hay Stock,"$33,226.61",https://www.ebay.com/itm/224567883822?epid=6040750113&hash=item344949f82e:g:3EwAAOSw~zJfa6n-
