provider,name,stock,price,link
Ebay,EVGA GeForce RTX 3080 Ti FTW3 ULTRA juegos gráfico,Hay Stock,"$35,240.34",https://www.ebay.com/itm/373678434327?epid=7047696774&hash=item5700f86817:g:8aoAAOSwelBg-0wf
Ebay,EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming 12GB Ta,Hay Stock,"$30,709.44",https://www.ebay.com/itm/324747943742?epid=7047696774&hash=item4b9c7c5f3e:g:kwwAAOSwEFNhAFPd
Ebay,Gigabyte Nvidia GeForce RTX 3080 Ti VISION OC 12GB,Hay Stock,"$37,656.62",https://www.ebay.com/itm/114927522086?hash=item1ac236d126:g:wnUAAOSw5g5hECOj
Ebay,NVIDIA GeForce RTX 3080 Ti Founders Edition Fe GPU,Hay Stock,"$38,760.40",https://www.ebay.com/itm/194279954661?_trkparms=ispr%3D1&hash=item2d3bfcd8e5:g:oWgAAOSwXdlhDS3o&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSd3M8ngECaRA0SmyU4KT%252Fnij%252BP3pG1z2cvsLktMJwGvWbgkLqCc1BzGirY2rA01w50FO7L1YVHp5zH1O9PkdnAMZhkLuWO2v%252Fzn5MozVcBjnbVLgjsLbpg8LRVpH%252B%252F47F6TlMj%252BoBIiHrgiKyfcsryu%252BnGd0U2UnKFT2zneuS1m0ooAh%252B4Qs17de9DXQRYdLWpjLlrOA%252FVVqil7%252Fx2chl6f3qBIkryIwz0am7RJMf8JJzSb80uWUiOUn93DNxAngaeovZcIrHlNyIiCQI5qjSYgG18jkw6Km64%252Fxgojg2p0D8uwW3875NTvdAn%252FE7WJKkepheBTJEgDbI9A0kbLM%252Bidj35aCsBmFd7mQG%252Bg7MhcC2fjBeDRT27N%252F0fYpmcxz3UjzLArCYSAL41SiqXKqGkofUrJlKm5UPrSgASnVujilxNo0ZriK8IXvUZ9X0xKUpycHgyWoRQV%252F0F34m075CyOUO%252BBbaNHzDwU76Zc5RWTA8T1HhWNQ%252BPvL%252BRsXXP8bbchGqTIQOc8eEHu7fodBoXWRTznc8mAIgWP18GfdI6SW9QeqtBJkmZqo8R9KQLlmu7lGayc1Lufp4RKr%252FlTwdAynqpQKf%252FGAETI9%252BXSPwS1xX3oA3H%252BzCSZozfqjZeGJ9GmqdUJwzcAnCJBXIEYfbbU2VHxuelgWrLbk0sTa5aC8ceSQyh7%252BwOKdCuDsGtOGqkTo2OGZT0DYTA4nUP5M6bYuhekI2dcWVYbQqIHrWO6PqdOkKLY3U%252F0%252F8j%252FcjVbtxHim1JddheKlV1zR%252BtQyDEdtNgXa3hUmRwp2dyGNFDzlHnxTTt%252BiwBfiG3Rgq7A0N%7Campid%3APL_CLK%7Cclp%3A2334524
Ebay,Nuevo EVGA GeForce RTX 3080 Ti FTW3 ULTRA Gaming 1,Hay Stock,"$38,240.40",https://www.ebay.com/itm/165011828033?epid=7047696774&_trkparms=ispr%3D1&hash=item266b78ad41:g:QuIAAOSw9uphEtY5&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSLY2M1Gjmuwt9c03vWNfiRsmibsRi4UUJ4pHJSL3xgOiDi13j7gLTs0BID%252BbUK6wp0krBaB3jhKdqxGPJbCg69Aikp8Ro%252BXe802UFfO8K0umvnuECjy7tcpOfha%252BpIxgm2XRP%252Bwn7Mr7AYTnRQpYVpu6TfMIhOz8f6I6uay6vOqeJOKBeCca2fHgwqCxFFKDdelktbqj2bZ6Ox%252FPWYh6M8gyOcEdBvPzBadjIboonryNIG3tdf4p4BETsAbK6mKMlxBHvKSBy%252BOYCumupxd0U1lKC0n7zy8lJ2C21ZjupvkI05BrE0N%252BGN6ntFbME2ajz%252F6Snkpjk8yGKZ%252BM%252B8CshqDrpXZD37lCRtylZu1GAPOQKrbtYTHDnzZvAPRuMl%252FNC7i6IcPhh4uNy0UTgSnC5dGlhPksro4y9rXIOoRnZEOahZceb4nWmTPjtISyFOR08JmTvCD5c0vA%252Ff3ax8y2hxTFjQHJC9a1kXDKjokZdlTxk2BSA7p6fe26qd23eeMbSFCtV1CV5xo1dg%252BxWDw9kD70upYynul4VQV87n8xs4OeaKc1wQsmJ4cZEJLSZFyOjd3h2esaGEHLYEgi6xUFHXwH5W1qeZ3wDThDGZcsSyUkxc2bIRDNq9Uzfgtx1b76c%252F5MiddMhAmT9xP7UsxZUJNjPMaYa8gOzyKAERSxh2WTJ8r7R8G2BexjmKiCDR2WcW1oagnYSO1%252B9anhY4AG%252FmN6aZfkzD30PZvDCm1pc%252BvaQ2o2Q%252BskdtW9%252BL9%252FSbSDYIZbmj7zwO4g7U%252BstqfSRMia2DmYVnzICMrgt12FUxzyQ7ttFi0bWfkGGuc72LnbM%7Campid%3APL_CLK%7Cclp%3A2334524
Ebay,NVIDIA GeForce RTX 3080 Ti Founders Edition Tarjet,Hay Stock,"$46,010.26",https://www.ebay.com/itm/194256215169?hash=item2d3a929c81:g:ujUAAOSwGLZgvy6I
Ebay,EVGA GeForce RTX 3080 Ti FTW3 ULTRA Gaming 12GB Gr,Hay Stock,"$36,247.00",https://www.ebay.com/itm/114928990287?epid=7047696774&hash=item1ac24d384f:g:le4AAOSwlIRg5VIb
Ebay,EVGA GeForce RTX 3080 Ti FTW3 ULTRA Gaming 12GB gr,Hay Stock,"$38,183.03",https://www.ebay.com/itm/184985952172?epid=7047696774&hash=item2b12059fac:g:6UQAAOSwWZdhDWC3
Ebay,EVGA GeForce RTX 3080 Ti XC3 Ultra Gaming 12GB Tar,Hay Stock,"$38,240.80",https://www.ebay.com/itm/184992164174?hash=item2b1264694e:g:ctwAAOSwH5hhEufo
Ebay,"EVGA GeForce RTX 3080 Ti FTW3 Ultra Juegos, tasa d",Hay Stock,"$36,649.95",https://www.ebay.com/itm/203556243978?epid=7047696774&hash=item2f64e5ca0a:g:4QUAAOSwNf9hEzCW
